상품명,상품코드,자체 품목코드,품목명,품목코드
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001L14548BB,14.5T x 1220 x 2440 동남아산 (고급),P0000BEE000J
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001M17548BB,17.5T x 1220 x 2440 동남아산 (고급),P0000BEE000K
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001F8548MLH,8.5T x 1220 x 2440 베트남산 (MLH),P0000BEE000L
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001I11548MLH,11.5T x 1220 x 2440 베트남산 (MLH),P0000BEE000M
미송합판(유절)1220 x 2440mm,P0000BED,(1)300B1미송유48,미송합판 4.8T,P0000BED000A
미송합판(유절)1220 x 2440mm,P0000BED,(1)300B2미송유85,미송합판 8.5T,P0000BED000C
미송합판(유절)1220 x 2440mm,P0000BED,(1)300B3미송유12,미송합판 12T,P0000BED000D
미송합판(유절)1220 x 2440mm,P0000BED,(1)300B4미송유15,미송합판 15T,P0000BED000E
미송합판(유절)1220 x 2440mm,P0000BED,(1)300B5미송유18,미송합판 18T,P0000BED000F
오징어합판 (요꼬합판)1220 x 2440mm,P0000BEC,(1)3001B448오징,4T X 1220mm X 2440mm,P0000BEC000A
MDF1220 x 2440mm,P0000BEB,(1)301MDF113고밀,2.7T 일반 MDF,P0000BEB000A
MDF1220 x 2440mm,P0000BEB,(1)301MDF1245고밀,4.5T 일반 MDF,P0000BEB000B
MDF1220 x 2440mm,P0000BEB,(1)301MDF136USB,6T 일반 MDF,P0000BEB000C
MDF1220 x 2440mm,P0000BEB,(1)301MDF149USB,9T 일반 MDF,P0000BEB000F
MDF1220 x 2440mm,P0000BEB,(1)301MDF1512USB,12T 일반 MDF,P0000BEB000G
MDF1220 x 2440mm,P0000BEB,(1)301MDF1615USB,15T 일반 MDF,P0000BEB000P
MDF1220 x 2440mm,P0000BEB,(1)301MDF1718USB,18T 일반 MDF,P0000BEB000Q
MDF1220 x 2440mm,P0000BEB,(1)301MDF1825UB,25T 일반 MDF,P0000BEB000R
MDF1220 x 2440mm,P0000BEB,(1)301MDF1930UB,30T 일반 MDF,P0000BEB000S
MDF1220 x 2440mm,P0000BEB,(1)301MDF206고밀,6T 고밀도 MDF,P0000BEB000T
MDF1220 x 2440mm,P0000BEB,(1)301MDF209고밀,9T 고밀도 MDF,P0000BEB000U
MDF1220 x 2440mm,P0000BEB,(1)301MDF2112고밀,12T 고밀도 MDF,P0000BEB000V
MDF1220 x 2440mm,P0000BEB,(1)301MDF2215고밀,15T 고밀도 MDF,P0000BEB000W
MDF1220 x 2440mm,P0000BEB,(1)301MDF2318고밀,18T 고밀도 MDF,P0000BEB000X
